,Unique_ID,Similarity_Score),,,,
151,151,[[0.22978866]],,,,
152,152,[[0.26842558]],,,,
153,153,[[0.1947707]],,,,
154,154,[[0.29154995]],,,,
155,155,[[0.3038972]],,,,
156,156,[[0.4861667]],,,,
157,157,[[0.43426484]],,,,
158,158,[[0.35619968]],,,,
159,159,[[0.4083739]],,,,
160,160,[[0.20284119]],,,,
161,161,[[0.48796278]],,,,
162,162,[[0.25298148]],,,,
163,163,[[0.13237773]],,,,
164,164,[[0.289766]],,,,
165,165,[[0.48524618]],,,,
166,166,[[0.24756029]],,,,
167,167,[[0.32279342]],,,,
168,168,[[0.33315974]],,,,
169,169,[[0.27010906]],,,,
170,170,[[0.1552689]],,,,
171,171,[[0.28270122]],,,,
172,172,[[0.24901824]],,,,
173,173,[[0.10064162]],,,,
174,174,[[0.12523666]],,,,
175,175,[[0.27528667]],,,,
176,176,[[0.30527136]],,,,
177,177,[[0.2534545]],,,,
178,178,[[0.23364092]],,,,
179,179,[[0.23224708]],,,,
180,180,[[0.13832733]],,,,
181,181,[[0.51682067]],,,,
182,182,[[0.46415883]],,,,
183,183,[[0.22828522]],,,,
184,184,[[0.2241428]],,,,
185,185,[[0.2749522]],,,,
186,186,[[0.01855781]],,,,
187,187,[[0.25789753]],,,,
188,188,[[0.47613555]],,,,
189,189,[[0.26087287]],,,,
190,190,[[0.4578833]],,,,
191,191,[[0.25246003]],,,,
192,192,[[0.05627396]],,,,
193,193,[[0.34757984]],,,,
194,194,[[0.12194624]],,,,
195,195,[[0.17911439]],,,,
196,196,[[0.28035533]],,,,
197,197,[[0.15060717]],,,,
198,198,[[0.03627517]],,,,
199,199,[[0.341174]],,,,
200,200,[[0.34701115]],,,,
201,201,[[0.27000386]],,,,
202,202,[[0.23511837]],,,,
203,203,[[0.17317668]],,,,
204,204,[[0.3697937]],,,,
205,205,[[0.47216776]],,,,
206,206,[[0.3864285]],,,,
207,207,[[0.38129503]],,,,
208,208,[[0.14399517]],,,,
209,209,[[0.3615892]],,,,
210,210,[[0.06647231]],,,,
211,211,[[0.3837446]],,,,
212,212,[[0.11560579]],,,,
213,213,[[0.19941053]],,,,
214,214,[[-0.0584936]],,,,
215,215,[[0.3336377]],,,,
216,216,[[0.21408002]],,,,
217,217,[[0.20657112]],,,,
218,218,[[0.48012698]],,,,
219,219,[[0.14789395]],,,,
220,220,[[0.3809796]],,,,
221,221,[[0.41535848]],,,,
222,222,[[0.2873813]],,,,
223,223,[[0.25729585]],,,,
224,224,[[0.15608287]],,,,
225,225,[[0.25862592]],,,,
226,226,[[0.15499078]],,,,
227,227,[[0.35850507]],,,,
228,228,[[0.17538777]],,,,
229,229,[[0.15535623]],,,,
230,230,[[0.1453541]],,,,
231,231,[[0.3317548]],,,,
232,232,[[0.04066593]],,,,
233,233,[[0.27935]],,,,
234,234,[[0.25549376]],,,,
235,235,[[0.28102744]],,,,
236,236,[[0.20921862]],,,,
237,237,[[0.26000977]],,,,
238,238,[[0.5137342]],,,,
239,239,[[0.24328046]],,,,
240,240,[[0.26317486]],,,,
241,241,[[0.38813433]],,,,
242,242,[[0.19003332]],,,,
243,243,[[0.30477476]],,,,
244,244,[[0.22019142]],,,,
245,245,[[0.38935536]],,,,
246,246,[[0.32235467]],,,,
247,247,[[0.1309016]],,,,
248,248,[[0.21241511]],,,,
249,249,[[0.13912022]],,,,
250,250,[[0.39918882]],,,,
251,251,[[0.11940616]],,,,
252,252,[[0.21636674]],,,,
253,253,[[0.23628753]],,,,
254,254,[[0.42984784]],,,,
255,255,[[0.38209957]],,,,
256,256,[[0.13191889]],,,,
257,257,[[0.13087273]],,,,
258,258,[[0.02963988]],,,,
259,259,[[0.29223245]],,,,
260,260,[[0.22472855]],,,,
261,261,[[0.38257793]],,,,
262,262,[[0.3381483]],,,,
263,263,[[0.17433235]],,,,
264,264,[[0.2235318]],,,,
265,265,[[0.23256612]],,,,
266,266,[[0.3955357]],,,,
267,267,[[0.3568864]],,,,
268,268,[[0.3554741]],,,,
269,269,[[0.20849782]],,,,
270,270,[[0.26070356]],,,,
271,271,[[0.16131566]],,,,
272,272,[[0.4086479]],,,,
273,273,[[0.28689617]],,,,
274,274,[[0.53971696]],,,,
275,275,[[0.47354972]],,,,
276,276,[[0.21492313]],,,,
277,277,[[0.19000848]],,,,
278,278,[[0.23874341]],,,,
279,279,[[0.40360323]],,,,
280,280,[[0.39228135]],,,,
281,281,[[0.25012198]],,,,
282,282,[[0.3190175]],,,,
283,283,[[0.22611794]],,,,
284,284,[[0.70052934]],,,,
285,285,[[0.2195185]],,,,
286,286,[[0.18761489]],,,,
287,287,[[0.34085083]],,,,
288,288,[[0.30850098]],,,,
289,289,[[0.13648495]],,,,
290,290,[[0.19204734]],,,,
291,291,[[0.2688436]],,,,
292,292,[[0.26904923]],,,,
293,293,[[0.20160311]],,,,
294,294,[[0.31599563]],,,,
295,295,[[0.1514478]],,,,
296,296,[[0.27557862]],,,,
297,297,[[0.39604697]],,,,
298,298,[[0.2788142]],,,,
299,299,[[0.41639003]],,,,
300,300,[[0.15496236]],,,,
301,301,[[0.40334684]],,,,
302,302,[[0.45963925]],,,,
303,303,[[0.25067222]],,,,
304,304,[[0.31402728]],,,,
305,305,[[0.3216486]],,,,
306,306,[[0.27615649]],,,,
307,307,[[0.22877622]],,,,
308,308,[[0.29647923]],,,,
309,309,[[0.3065697]],,,,
310,310,[[0.26079455]],,,,
311,311,[[0.21296377]],,,,
312,312,[[0.21126032]],,,,
313,313,[[0.20890583]],,,,
314,314,[[0.20681234]],,,,
315,315,[[0.18051824]],,,,
316,316,[[0.14734456]],,,,
317,317,[[0.11901238]],,,,
318,318,[[0.3267937]],,,,
319,319,[[0.33373582]],,,,
320,320,[[0.16302979]],,,,
321,321,[[0.36741662]],,,,
322,322,[[0.09069905]],,,,
323,323,[[0.31593302]],,,,
324,324,[[0.21075206]],,,,
325,325,[[0.17528377]],,,,
326,326,[[0.45861]],,,,
327,327,[[0.39625102]],,,,
328,328,[[0.4139889]],,,,
329,329,[[0.43687993]],,,,
330,330,[[0.08427109]],,,,
331,331,[[0.3569948]],,,,
332,332,[[0.27408504]],,,,
333,333,[[0.44247928]],,,,
334,334,[[0.21101303]],,,,
335,335,[[0.22107139]],,,,
336,336,[[0.18958366]],,,,
337,337,[[0.5377829]],,,,
338,338,[[0.2761123]],,,,
339,339,[[0.21179712]],,,,
340,340,[[0.19141218]],,,,
341,341,[[0.09218869]],,,,
342,342,[[0.24522334]],,,,
343,343,[[0.21186744]],,,,
344,344,[[0.4087578]],,,,
345,345,[[0.06447072]],,,,
346,346,[[0.22574759]],,,,
347,347,[[0.17208211]],,,,
348,348,[[0.08197633]],,,,
349,349,[[0.2178821]],,,,
350,350,[[0.20923318]],,,,
351,351,[[0.46992785]],,,,
352,352,[[0.27775487]],,,,
353,353,[[0.20501822]],,,,
354,354,[[0.2237667]],,,,
355,355,[[0.32710987]],,,,
356,356,[[0.37912345]],,,,
357,357,[[0.19476467]],,,,
358,358,[[0.02772608]],,,,
359,359,[[0.21608597]],,,,
360,360,[[0.14903846]],,,,
361,361,[[0.49409765]],,,,
362,362,[[0.2174077]],,,,
363,363,[[0.41893572]],,,,
364,364,[[0.33689353]],,,,
365,365,[[0.27281392]],,,,
366,366,[[0.3779812]],,,,
367,367,[[0.31830508]],,,,
368,368,[[0.19144398]],,,,
369,369,[[0.04918529]],,,,
370,370,[[0.28445244]],,,,
371,371,[[0.08677078]],,,,
372,372,[[0.16956326]],,,,
373,373,[[0.2958523]],,,,
374,374,[[0.3903192]],,,,
375,375,[[0.24642876]],,,,
376,376,[[0.34114465]],,,,
377,377,[[0.5504708]],,,,
378,378,[[0.27878386]],,,,
379,379,[[0.3047248]],,,,
380,380,[[0.22747757]],,,,
381,381,[[0.2875539]],,,,
382,382,[[0.3339994]],,,,
383,383,[[0.28499886]],,,,
384,384,[[0.3213116]],,,,
385,385,[[0.2730983]],,,,
386,386,[[0.24334201]],,,,
387,387,[[0.32308215]],,,,
388,388,[[0.28720465]],,,,
389,389,[[0.18631066]],,,,
390,390,[[0.2632254]],,,,
391,391,[[0.3389612]],,,,
392,392,[[0.23087281]],,,,
393,393,[[0.22306865]],,,,
394,394,[[0.3574147]],,,,
395,395,[[0.2635606]],,,,
396,396,[[0.15576398]],,,,
397,397,[[0.25201407]],,,,
398,398,[[0.36806843]],,,,
399,399,[[0.19408365]],,,,
400,400,[[0.36186665]],,,,
401,401,[[0.24020548]],,,,
402,402,[[0.26336387]],,,,
403,403,[[0.3526709]],,,,
404,404,[[0.34918684]],,,,
405,405,[[0.36200196]],,,,
406,406,[[0.1739969]],,,,
407,407,[[0.31457523]],,,,
408,408,[[0.10168575]],,,,
409,409,[[0.31579798]],,,,
410,410,[[0.2631495]],,,,
411,411,[[0.15051788]],,,,
412,412,[[0.34414172]],,,,
413,413,[[0.22405888]],,,,
414,414,[[0.1358603]],,,,
415,415,[[0.21533568]],,,,
416,416,[[0.10602561]],,,,
417,417,[[0.190931]],,,,
418,418,[[0.36748755]],,,,
419,419,[[0.17983925]],,,,
420,420,[[0.2219219]],,,,
421,421,[[0.26130003]],,,,
422,422,[[0.45270348]],,,,
423,423,[[0.5172628]],,,,
424,424,[[0.38328305]],,,,
425,425,[[0.31237668]],,,,
426,426,[[0.2643491]],,,,
427,427,[[0.24697345]],,,,
428,428,[[0.26775312]],,,,
429,429,[[0.49203187]],,,,
430,430,[[0.16566147]],,,,
431,431,[[0.22926952]],,,,
432,432,[[0.2460728]],,,,
433,433,[[0.4045534]],,,,
434,434,[[0.36488128]],,,,
435,435,[[0.29029876]],,,,
436,436,[[0.22319001]],,,,
437,437,[[0.34765303]],,,,
438,438,[[0.27374125]],,,,
439,439,[[0.16943383]],,,,
440,440,[[0.25978854]],,,,
441,441,[[0.33571768]],,,,
442,442,[[0.49396092]],,,,
443,443,[[0.2722283]],,,,
444,444,[[-0.05205432]],,,,
445,445,[[0.14608623]],,,,
446,446,[[0.3273155]],,,,
447,447,[[0.18562144]],,,,
448,448,[[0.35555494]],,,,
449,449,[[0.39735666]],,,,
450,450,[[0.25049362]],,,,
451,451,[[0.43477207]],,,,
452,452,[[0.28520864]],,,,
453,453,[[0.48344904]],,,,
454,454,[[0.25437644]],,,,
455,455,[[0.11351244]],,,,
456,456,[[0.228454]],,,,
457,457,[[0.36400467]],,,,
458,458,[[0.15092656]],,,,
459,459,[[0.32108063]],,,,
460,460,[[0.35339496]],,,,
461,461,[[0.17426366]],,,,
462,462,[[0.35749504]],,,,
463,463,[[0.52467847]],,,,
464,464,[[0.17060545]],,,,
465,465,[[0.19983904]],,,,
466,466,[[0.23874527]],,,,
467,467,[[0.09583053]],,,,
468,468,[[0.27052143]],,,,
469,469,[[0.34815198]],,,,
470,470,[[0.30725598]],,,,
471,471,[[0.15397966]],,,,
472,472,[[0.55850303]],,,,
473,473,[[0.3359816]],,,,
474,474,[[0.3113275]],,,,
475,475,[[0.32907182]],,,,
476,476,[[0.27424252]],,,,
477,477,[[0.3814487]],,,,
478,478,[[0.24089415]],,,,
479,479,[[0.2085813]],,,,
480,480,[[0.32242692]],,,,
481,481,[[0.37606913]],,,,
482,482,[[0.17304973]],,,,
483,483,[[0.19707064]],,,,
484,484,[[0.26565012]],,,,
485,485,[[0.29646415]],,,,
486,486,[[0.18857022]],,,,
487,487,[[0.20168579]],,,,
488,488,[[0.39593405]],,,,
489,489,[[0.27454448]],,,,
490,490,[[0.17732343]],,,,
491,491,[[0.0971553]],,,,
492,492,[[0.178804]],,,,
493,493,[[0.2489309]],,,,
494,494,[[0.43225294]],,,,
495,495,[[0.30190092]],,,,
496,496,[[0.18058129]],,,,
497,497,[[0.23332554]],,,,
498,498,[[0.2179901]],,,,
499,499,[[0.3581761]],,,,
500,500,[[0.16837433]],,,,
501,501,[[0.1880889]],,,,
502,502,[[0.4560922]],,,,
503,503,[[0.48473996]],,,,
504,504,[[0.24716833]],,,,
505,505,[[0.21638374]],,,,
506,506,[[0.16881594]],,,,
507,507,[[0.2987367]],,,,
508,508,[[0.2795347]],,,,
509,509,[[0.42563754]],,,,
510,510,[[0.19360527]],,,,
511,511,[[0.25999627]],,,,
512,512,[[0.28869724]],,,,
513,513,[[0.1703752]],,,,
514,514,[[0.38230738]],,,,
515,515,[[0.20683496]],,,,
516,516,[[0.30860555]],,,,
517,517,[[0.25886893]],,,,
518,518,[[0.29160333]],,,,
519,519,[[0.22444035]],,,,
520,520,[[0.26263404]],,,,
521,521,[[0.16157001]],,,,
522,522,[[0.39467847]],,,,
523,523,[[0.35132527]],,,,
524,524,[[0.09452777]],,,,
525,525,[[0.4250165]],,,,
526,526,[[0.3804532]],,,,
527,527,[[0.29971808]],,,,
528,528,[[0.23014605]],,,,
529,529,[[0.29044896]],,,,
530,530,[[0.23400296]],,,,
531,531,[[0.34891245]],,,,
532,532,[[0.40201738]],,,,
533,533,[[0.3190311]],,,,
534,534,[[0.3515188]],,,,
535,535,[[0.55095184]],,,,
536,536,[[0.3219496]],,,,
537,537,[[0.2785324]],,,,
538,538,[[0.22716771]],,,,
539,539,[[0.25138977]],,,,
540,540,[[0.51464653]],,,,
541,541,[[0.26295444]],,,,
542,542,[[0.44283348]],,,,
543,543,[[0.32703292]],,,,
544,544,[[0.2248302]],,,,
545,545,[[0.3318175]],,,,
546,546,[[0.1157309]],,,,
547,547,[[0.24233122]],,,,
548,548,[[0.34744918]],,,,
549,549,[[0.53510785]],,,,
550,550,[[0.21812144]],,,,
551,551,[[0.6864474]],,,,
552,552,[[0.55829537]],,,,
553,553,[[0.12771663]],,,,
554,554,[[0.2863655]],,,,
555,555,[[0.25672626]],,,,
556,556,[[0.22996648]],,,,
557,557,[[0.31761086]],,,,
558,558,[[0.28008753]],,,,
559,559,[[0.19984075]],,,,
560,560,[[0.0511197]],,,,
561,561,[[0.20430179]],,,,
562,562,[[0.4350088]],,,,
563,563,[[0.14406446]],,,,
564,564,[[0.19377284]],,,,
565,565,[[0.11622575]],,,,
566,566,[[0.15035369]],,,,
567,567,[[0.31744766]],,,,
568,568,[[0.33561316]],,,,
569,569,[[0.27003717]],,,,
570,570,[[0.2432913]],,,,
571,571,[[0.35442993]],,,,
572,572,[[0.1531875]],,,,
573,573,[[0.1418655]],,,,
574,574,[[0.23333599]],,,,
575,575,[[0.3698743]],,,,
576,576,[[0.1848212]],,,,
577,577,[[0.21208474]],,,,
578,578,[[0.20438308]],,,,
579,579,[[0.21893619]],,,,
580,580,[[0.200151]],,,,
581,581,[[0.435853]],,,,
582,582,[[0.32408765]],,,,
583,583,[[0.18730237]],,,,
584,584,[[0.21099432]],,,,
585,585,[[0.31393683]],,,,
586,586,[[0.55180585]],,,,
587,587,[[0.19098791]],,,,
588,588,[[0.2340348]],,,,
589,589,[[0.3004891]],,,,
590,590,[[0.48187968]],,,,
591,591,[[0.220695]],,,,
592,592,[[0.358046]],,,,
593,593,[[0.36918202]],,,,
594,594,[[0.31231973]],,,,
595,595,[[0.23291239]],,,,
596,596,[[0.36331296]],,,,
597,597,[[0.38963035]],,,,
598,598,[[0.45574808]],,,,
599,599,[[0.21185222]],,,,
600,600,[[0.46134472]],,,,
601,601,[[0.47459197]],,,,
602,602,[[0.5333202]],,,,
603,603,[[0.030938]],,,,
604,604,[[0.20373929]],,,,
605,605,[[0.18024635]],,,,
606,606,[[-0.0204528]],,,,
607,607,[[0.3479797]],,,,
608,608,[[0.37188697]],,,,
609,609,[[0.1911323]],,,,
610,610,[[0.18614012]],,,,
611,611,[[0.19941963]],,,,
612,612,[[0.17676327]],,,,
613,613,[[0.29345202]],,,,
614,614,[[0.30310112]],,,,
615,615,[[0.25801712]],,,,
616,616,[[0.25514078]],,,,
617,617,[[0.29271242]],,,,
618,618,[[0.29904294]],,,,
619,619,[[0.4239188]],,,,
620,620,[[0.3301305]],,,,
621,621,[[0.01239172]],,,,
622,622,[[0.5790608]],,,,
623,623,[[0.20908624]],,,,
624,624,[[0.1738975]],,,,
625,625,[[0.26885775]],,,,
626,626,[[0.16971911]],,,,
627,627,[[0.34723112]],,,,
628,628,[[0.5348728]],,,,
629,629,[[0.10431334]],,,,
630,630,[[0.10837635]],,,,
631,631,[[0.15967797]],,,,
632,632,[[0.40356085]],,,,
633,633,[[0.4517243]],,,,
634,634,[[0.3530773]],,,,
635,635,[[0.13576624]],,,,
636,636,[[0.2889104]],,,,
637,637,[[0.17049241]],,,,
638,638,[[0.21299028]],,,,
639,639,[[0.19168028]],,,,
640,640,[[0.34312898]],,,,
641,641,[[0.23866959]],,,,
642,642,[[0.2914892]],,,,
643,643,[[0.2650717]],,,,
644,644,[[0.10928659]],,,,
645,645,[[0.20030433]],,,,
646,646,[[0.21166182]],,,,
647,647,[[0.2969018]],,,,
648,648,[[0.19172308]],,,,
649,649,[[0.19404577]],,,,
650,650,[[0.23971257]],,,,
651,651,[[0.23823905]],,,,
652,652,[[0.33121315]],,,,
653,653,[[0.23471165]],,,,
654,654,[[0.23659647]],,,,
655,655,[[0.23314714]],,,,
656,656,[[0.2330599]],,,,
657,657,[[0.25261635]],,,,
658,658,[[0.11656888]],,,,
659,659,[[0.28176278]],,,,
660,660,[[0.19781646]],,,,
661,661,[[0.42632034]],,,,
662,662,[[0.36309502]],,,,
663,663,[[0.42472172]],,,,
664,664,[[0.26456267]],,,,
665,665,[[0.38109276]],,,,
666,666,[[0.17163758]],,,,
667,667,[[0.33555788]],,,,
668,668,[[0.22918595]],,,,
669,669,[[0.23857987]],,,,
670,670,[[0.33485967]],,,,
671,671,[[0.35173398]],,,,
672,672,[[0.12824948]],,,,
673,673,[[0.22325411]],,,,
674,674,[[0.10042422]],,,,
675,675,[[0.35778016]],,,,
676,676,[[0.33262354]],,,,
677,677,[[0.38959253]],,,,
678,678,[[0.30823344]],,,,
679,679,[[0.09384619]],,,,
680,680,[[0.5894307]],,,,
681,681,[[0.3020102]],,,,
682,682,[[0.31862524]],,,,
683,683,[[0.27501357]],,,,
684,684,[[0.15609452]],,,,
685,685,[[0.37524343]],,,,
686,686,[[0.17043197]],,,,
687,687,[[0.27628115]],,,,
688,688,[[0.49202266]],,,,
689,689,[[0.09005337]],,,,
690,690,[[0.26426926]],,,,
691,691,[[0.22215262]],,,,
692,692,[[0.2518788]],,,,
693,693,[[0.33425948]],,,,
694,694,[[0.42368168]],,,,
695,695,[[0.38852358]],,,,
696,696,[[0.33533946]],,,,
697,697,[[0.3564769]],,,,
698,698,[[0.3130567]],,,,
699,699,[[0.14275752]],,,,
700,700,[[0.07695592]],,,,
701,701,[[0.306122]],,,,
702,702,[[0.13749276]],,,,
703,703,[[0.48380184]],,,,
704,704,[[0.07913186]],,,,
705,705,[[0.31300047]],,,,
706,706,[[0.23674378]],,,,
707,707,[[0.23904887]],,,,
708,708,[[0.31947395]],,,,
709,709,[[0.18370216]],,,,
710,710,[[0.18181106]],,,,
711,711,[[0.2890352]],,,,
712,712,[[0.21895108]],,,,
713,713,[[0.25480634]],,,,
714,714,[[0.30940115]],,,,
715,715,[[0.26454845]],,,,
716,716,[[0.36587125]],,,,
717,717,[[0.2913491]],,,,
718,718,[[0.428262]],,,,
719,719,[[0.56822443]],,,,
720,720,[[0.2948072]],,,,
721,721,[[0.20227152]],,,,
722,722,[[0.37217924]],,,,
723,723,[[0.15766057]],,,,
724,724,[[0.20252834]],,,,
725,725,[[0.23165706]],,,,
726,726,[[0.07934743]],,,,
727,727,[[0.47809824]],,,,
728,728,[[0.26771092]],,,,
729,729,[[0.06828575]],,,,
730,730,[[0.38246778]],,,,
731,731,[[0.1397953]],,,,
732,732,[[0.35366088]],,,,
733,733,[[0.09912968]],,,,
734,734,[[0.11804076]],,,,
735,735,[[0.37381682]],,,,
736,736,[[0.12416035]],,,,
737,737,[[0.13218382]],,,,
738,738,[[0.38318276]],,,,
739,739,[[0.16736628]],,,,
740,740,[[0.18225674]],,,,
741,741,[[0.11140315]],,,,
742,742,[[0.41520512]],,,,
743,743,[[0.3446369]],,,,
744,744,[[0.12941355]],,,,
745,745,[[0.20068868]],,,,
746,746,[[0.19367933]],,,,
747,747,[[0.32819355]],,,,
748,748,[[0.37111604]],,,,
749,749,[[0.24260253]],,,,
750,750,[[0.34082204]],,,,
751,751,[[0.26627445]],,,,
752,752,[[0.27750903]],,,,
753,753,[[0.19908735]],,,,
754,754,[[0.13832885]],,,,
755,755,[[0.24776529]],,,,
756,756,[[0.19085371]],,,,
757,757,[[0.27465615]],,,,
758,758,[[0.1310246]],,,,
759,759,[[0.29936963]],,,,
760,760,[[0.39154768]],,,,
761,761,[[0.48287752]],,,,
762,762,[[0.23995844]],,,,
763,763,[[0.256714]],,,,
764,764,[[0.3539679]],,,,
765,765,[[0.12913361]],,,,
766,766,[[0.26787174]],,,,
767,767,[[0.04529317]],,,,
768,768,[[0.28653824]],,,,
769,769,[[0.2121503]],,,,
770,770,[[0.20361724]],,,,
771,771,[[0.15096733]],,,,
772,772,[[0.2993545]],,,,
773,773,[[0.24133934]],,,,
774,774,[[0.1783798]],,,,
775,775,[[-0.00088065]],,,,
776,776,[[0.28961504]],,,,
777,777,[[0.21082038]],,,,
778,778,[[0.28426892]],,,,
779,779,[[0.31498984]],,,,
780,780,[[0.18396428]],,,,
781,781,[[0.1378096]],,,,
782,782,[[0.26974067]],,,,
783,783,[[0.28564012]],,,,
784,784,[[0.29908898]],,,,
785,785,[[0.5244067]],,,,
786,786,[[0.44392067]],,,,
787,787,[[0.10489928]],,,,
788,788,[[0.39397445]],,,,
789,789,[[0.2122612]],,,,
790,790,[[0.22967733]],,,,
791,791,[[0.32680488]],,,,
792,792,[[0.17455974]],,,,
793,793,[[0.35856134]],,,,
794,794,[[0.33495998]],,,,
795,795,[[0.4515963]],,,,
796,796,[[0.3531631]],,,,
797,797,[[0.40177336]],,,,
798,798,[[0.19021499]],,,,
799,799,[[0.18592682]],,,,
800,800,[[0.12492166]],,,,
801,801,[[0.38709277]],,,,
802,802,[[0.12210703]],,,,
803,803,[[0.32551643]],,,,
804,804,[[0.4517303]],,,,
805,805,[[0.21371827]],,,,
806,806,[[0.10373256]],,,,
807,807,[[0.2378827]],,,,
808,808,[[0.28363737]],,,,
809,809,[[0.2695501]],,,,
810,810,[[0.48343277]],,,,
811,811,[[0.3495643]],,,,
812,812,[[0.17857748]],,,,
813,813,[[0.3366968]],,,,
814,814,[[0.23348221]],,,,
815,815,[[0.33817506]],,,,
816,816,[[0.294629]],,,,
817,817,[[0.32453358]],,,,
818,818,[[0.3123726]],,,,
819,819,[[0.07891691]],,,,
820,820,[[0.411935]],,,,
821,821,[[0.06641661]],,,,
